╔══════════════════════════════════════════════════════════╗
║  岱境235 金融数据流转压测 — tidb_adapter.go 直压          ║
╠══════════════════════════════════════════════════════════╣
║  并发: 20  goroutine    持续: 15m0s             ║
║  目标: MySQL (tidb_adapter → batch INSERT → InnoDB)       ║
╚══════════════════════════════════════════════════════════╝

时间               总发送         TPS       成功/失败     Avg延迟     P99延迟    吞吐MB/s
──────────────────────────────────────────────────────────────────────────────
1s            870035      870035    870098/0            8µs       0µs     76.65
2s           1892183     1022148   1893731/0            7µs       0µs     83.67
3s           2959379     1067196   2960224/0            6µs       0µs     87.90
4s           3697859      738480   3697908/0            8µs       0µs     82.63
5s           4392017      694158   4392128/0            6µs       0µs     78.72
6s           5022262      630245   5022325/0           19µs       0µs     75.06
7s           5728882      706620   5729724/0            6µs       0µs     73.35
8s           6511246      782364   6512630/0            7µs       0µs     73.20
9s           7283639      772393   7284033/0            9µs       0µs     72.84
10s          7996015      712376   7997364/0           12µs       0µs     72.01
11s          8858111      862096   8858178/0            9µs       0µs     72.56
12s          9559761      701650   9564135/0           17µs       0µs     71.78
13s         10375033      815272  10375272/0            8µs       0µs     71.96
14s         11199704      824671  11199956/0            7µs       0µs     72.16
15s         11978128      778424  11978128/0            7µs       0µs     72.05
16s         12615564      637436  12615711/0           16µs       0µs     71.15
17s         13242260      626696  13244567/0           11µs       0µs     70.31
18s         14042241      799981  14042260/0            7µs       0µs     70.43
19s         14849474      807233  14850128/0            7µs       0µs     70.58
20s         15643297      793823  15644159/0           23µs       0µs     70.62
21s         16320587      677290  16320583/0           15µs       0µs     70.20
22s         17166076      845489  17166395/0            8µs       0µs     70.49
23s         18011960      845884  18012528/0            7µs       0µs     70.76
24s         18877498      865538  18877888/0            9µs       0µs     71.07
25s         19584010      706512  19584010/0           14µs       0µs     70.65
26s         20116911      532901  20116911/0           23µs       0µs     69.93
27s         20877047      760136  20877318/0            7µs       0µs     69.95
28s         21671793      794746  21673068/0            6µs       0µs     70.08
29s         22479259      807466  22479482/0            6µs       0µs     70.24
30s         23331101      851842  23331644/0            8µs       0µs     70.52
31s         24018824      687723  24018824/0           17µs       0µs     70.24
32s         24787200      768376  24787748/0            8µs       0µs     70.33
33s         25606979      819779  25607995/0            6µs       0µs     70.49
34s         26424355      817376  26424636/0            6µs       0µs     70.64
35s         27251317      826962  27251317/0           10µs       0µs     70.80
36s         27882449      631132  27882937/0           13µs       0µs     70.42
37s         28540451      658002  28540623/0            8µs       0µs     70.19
38s         29322899      782448  29323016/0           13µs       0µs     70.26
39s         30141750      818851  30142483/0            6µs       0µs     70.40
40s         30952834      811084  30953280/0            6µs       0µs     70.52
41s         31722190      769356  31723479/0            7µs       0µs     70.54
42s         32545015      822825  32546686/0            8µs       0µs     70.67
43s         33300363      755348  33300375/0           18µs       0µs     70.64
44s         34128186      827823  34128330/0            6µs       0µs     70.78
45s         34994777      866591  34994962/0            6µs       0µs     70.99
46s         35666433      671656  35667287/0           11µs       0µs     70.79
47s         36410668      744235  36410754/0           14µs       0µs     70.75
48s         37135143      724475  37135904/0            5µs       0µs     70.68
49s         37968846      833703  37969538/0            9µs       0µs     70.81
50s         38733118      764272  38733343/0           10µs       0µs     70.81
51s         39470673      737555  39471052/0            7µs       0µs     70.76
52s         40295883      825210  40295976/0            9µs       0µs     70.87
53s         40997871      701988  40997924/0           21µs       0µs     70.75
54s         41819476      821605  41819551/0            6µs       0µs     70.85
55s         42610900      791424  42610901/0            6µs       0µs     70.89
56s         43228302      617402  43229384/0           11µs       0µs     70.65
57s         43998184      769882  43998521/0            8µs       0µs     70.66
58s         44812490      814306  44812480/0            6µs       0µs     70.74
59s         45574673      762183  45574785/0           17µs       0µs     70.73
60s         46271546      696873  46271826/0           12µs       0µs     70.61
61s         46757165      485619  46761075/0           27µs       0µs     70.07
62s         47310931      553766  47311695/0           12µs       0µs     69.88
63s         48012600      701669  48012600/0            9µs       0µs     69.80
64s         48835854      823254  48842054/0            8µs       0µs     69.90
65s         49574481      738627  49575621/0            6µs       0µs     69.90
66s         50254489      680008  50254642/0           24µs       0µs     69.79
67s         50862144      607655  50862509/0           23µs       0µs     69.59
68s         51543425      681281  51543872/0           23µs       0µs     69.49
69s         52390750      847325  52390911/0            5µs       0µs     69.62
70s         53276171      885421  53276879/0            8µs       0µs     69.80
71s         54134501      858330  54134777/0            7µs       0µs     69.93
72s         54903234      768733  54903342/0            5µs       0µs     69.95
73s         55711711      808477  55711710/0            8µs       0µs     69.95
74s         56395369      683658  56399365/0           18µs       0µs     69.92
75s         57279497      884128  57279654/0            6µs       0µs     70.08
76s         58064535      785038  58064804/0            6µs       0µs     70.11
77s         58754210      689675  58754555/0            5µs       0µs     70.03
78s         59530307      776097  59530906/0            8µs       0µs     70.06
79s         60301822      771515  60301807/0           17µs       0µs     70.07
80s         61074509      772687  61074944/0            7µs       0µs     70.09
81s         61935467      860958  61935898/0            9µs       0µs     70.21
82s         62679479      744012  62679898/0            7µs       0µs     70.19
83s         63474228      794749  63474228/0            6µs       0µs     70.23
84s         64281450      807222  64281450/0           14µs       0µs     70.27
85s         65057218      775768  65057535/0            8µs       0µs     70.30
86s         65777418      720200  65777446/0           12µs       0µs     70.25
87s         66472841      695423  66473055/0            6µs       0µs     70.19
88s         67252217      779376  67254314/0            6µs       0µs     70.21
89s         68083128      830911  68083867/0            8µs       0µs     70.29
90s         68899101      815973  68899409/0            7µs       0µs     70.34
91s         69674812      775711  69676547/0           31µs       0µs     70.35
92s         70231067      556255  70231313/0           19µs       0µs     70.15
93s         70965840      734773  70966062/0            8µs       0µs     70.13
94s         71769337      803497  71770179/0            6µs       0µs     70.17
95s         72611901      842564  72612368/0            7µs       0µs     70.26
96s         73360800      748899  73360864/0            7µs       0µs     70.25
97s         74125295      764495  74125394/0           10µs       0µs     70.25
98s         74793071      667776  74793208/0           25µs       0µs     70.16
99s         75624662      831591  75624676/0            5µs       0µs     70.23
100s        76489712      865050  76490268/0            5µs       0µs     70.33
101s        77353327      863615  77353582/0           13µs       0µs     70.42
102s        78130474      777147  78134517/0            8µs       0µs     70.44
103s        78858988      728514  78859083/0            6µs       0µs     70.41
104s        79613535      754547  79614083/0           15µs       0µs     70.40
105s        80418822      805287  80419462/0            7µs       0µs     70.44
106s        81082220      663398  81084143/0            7µs       0µs     70.36
107s        81797642      715422  81797902/0           10µs       0µs     70.32
108s        82463240      665598  82463489/0           14µs       0µs     70.23
109s        83196216      732976  83196841/0            6µs       0µs     70.21
110s        83956968      760752  83957541/0            7µs       0µs     70.22
111s        84827773      870805  84828365/0            7µs       0µs     70.31
112s        85619271      791498  85619281/0           10µs       0µs     70.33
113s        86320629      701358  86320859/0           15µs       0µs     70.29
114s        87181245      860616  87181394/0            7µs       0µs     70.37
115s        88011786      830541  88013973/0           18µs       0µs     70.42
116s        88724634      712848  88724732/0           17µs       0µs     70.39
117s        89516304      791670  89516907/0           11µs       0µs     70.41
118s        90168956      652652  90168956/0           14µs       0µs     70.32
119s        90960322      791366  90960900/0            7µs       0µs     70.35
120s        91637038      676716  91637321/0            9µs       0µs     70.28
121s        92369122      732084  92369341/0            7µs       0µs     70.26
122s        93017405      648283  93018905/0            7µs       0µs     70.18
123s        93759631      742226  93759698/0            9µs       0µs     70.17
124s        94593590      833959  94594401/0            5µs       0µs     70.22
125s        95348839      755249  95349381/0           14µs       0µs     70.22
126s        96048235      699396  96048738/0            8µs       0µs     70.18
127s        96833981      785746  96834426/0            9µs       0µs     70.20
128s        97484292      650311  97484567/0            8µs       0µs     70.12
129s        98265417      781125  98265728/0            7µs       0µs     70.13
130s        99086254      820837  99087976/0           12µs       0µs     70.16
131s        99864199      777945  99864618/0           10µs       0µs     70.19
132s       100649801      785602  100649799/0           14µs       0µs     70.21
133s       101337637      687836  101337646/0           12µs       0µs     70.15
134s       102034758      697121  102039305/0            6µs       0µs     70.12
135s       102797434      762676  102797434/0            7µs       0µs     70.12
136s       103532789      735355  103532905/0            8µs       0µs     70.11
137s       104285786      752997  104285786/0            6µs       0µs     70.10
138s       104953962      668176  104955976/0           25µs       0µs     70.04
139s       105714166      760204  105714628/0            8µs       0µs     70.05
140s       106459454      745288  106459978/0            6µs       0µs     70.04
141s       107230029      770575  107230853/0           10µs       0µs     70.04
142s       108023095      793066  108023369/0           15µs       0µs     70.07
143s       108739801      716706  108739801/0            7µs       0µs     70.04
144s       109522241      782440  109522406/0            8µs       0µs     70.06
145s       110350773      828532  110351129/0            8µs       0µs     70.10
146s       110988314      637541  110991464/0            8µs       0µs     70.02
147s       111652492      664178  111652490/0           12µs       0µs     69.96
148s       112318506      666014  112319060/0           12µs       0µs     69.91
149s       113087709      769203  113087935/0            7µs       0µs     69.92
150s       113910040      822331  113910254/0            8µs       0µs     69.96
